Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,150.99000549316406,155.75,150.8800048828125,154.8800048828125,152.20628356933594,58576700
2019-01-03,152.60000610351562,153.25999450683594,149.49000549316406,149.82000732421875,147.23365783691406,74820200
2019-01-04,152.33999633789062,157.0,151.74000549316406,156.22999572753906,153.5330047607422,74709300
2019-01-07,156.6199951171875,158.86000061035156,156.11000061035156,158.08999633789062,155.36085510253906,52059300
2019-01-08,159.5399932861328,160.11000061035156,157.1999969482422,159.52000427246094,156.7661895751953,49388700
2019-01-09,160.13999938964844,161.52000427246094,159.47000122070312,160.82000732421875,158.0437469482422,46491700
2019-01-10,159.60000610351562,161.3699951171875,158.6999969482422,161.27999877929688,158.4958038330078,38943400
2019-01-11,160.3300018310547,160.86000061035156,159.7899932861328,160.69000244140625,157.9159698486328,30176600
2019-01-14,159.3300018310547,159.9600067138672,158.58999633789062,159.27000427246094,156.52049255371094,30710200
2019-01-15,160.0,162.60000610351562,159.91000366210938,162.3800048828125,159.57681274414062,40874200
2019-01-16,162.64999389648438,163.77999877929688,162.2899932861328,162.35000610351562,159.54733276367188,33812200
2019-01-17,161.8300018310547,164.36000061035156,161.57000732421875,163.6300048828125,160.80523681640625,39329000
2019-01-18,164.77999877929688,166.02000427246094,163.82000732421875,165.25,162.39727783203125,57183200
2019-01-22,164.05999755859375,164.13999938964844,160.75999450683594,161.94000244140625,159.1444091796875,56711700
2019-01-23,162.77000427246094,163.50999450683594,160.32000732421875,162.14999389648438,159.35079956054688,38106100
2019-01-24,162.67999267578125,163.44000244140625,162.05999755859375,163.1999969482422,160.38265991210938,32417800
2019-01-25,164.50999450683594,165.64999389648438,163.9499969482422,165.14999389648438,162.29898071289062,36515900
2019-01-28,163.02000427246094,163.1199951171875,161.75,163.11000061035156,160.29420471191406,33491200
2019-01-29,163.1999969482422,163.24000549316406,160.99000549316406,161.57000732421875,158.78082275390625,30784200
2019-01-30,163.39999389648438,166.27999877929688,162.88999938964844,165.67999267578125,162.81985473632812,41346500
2019-01-31,166.6999969482422,168.99000549316406,166.47000122070312,168.16000366210938,165.2570343017578,37258400
